Month,Items,Cost
2023-08-01,CLEANING,1030
2023-08-01,ELECTRIC,210
2023-08-01,INTERNET,70
2023-08-01,MINUT,67
2023-08-01,REFILLS,65
2023-08-01,RENT,3200
2023-08-01,SECURITY,60
2023-08-01,WATER&TRASH,179
2023-09-01,CLEANING,1040
2023-09-01,ELECTRIC,176
2023-09-01,INTERNET,70
2023-09-01,MINUT,67
2023-09-01,REFILLS,65
2023-09-01,RENT,3200
2023-09-01,SECURITY,60
2023-09-01,WATER&TRASH,37
2023-10-01,CLEANING,1040
2023-10-01,ELECTRIC,176
2023-10-01,INTERNET,70
2023-10-01,MINUT,67
2023-10-01,REFILLS,65
2023-10-01,RENT,3200
2023-10-01,SECURITY,60
2023-10-01,WATER&TRASH,37
2023-11-01,CLEANING,720
2023-11-01,ELECTRIC,217
2023-11-01,INTERNET,70
2023-11-01,MINUT,67
2023-11-01,REFILLS,65
2023-11-01,RENT,3200
2023-11-01,SECURITY+insurance,80
2023-11-01,WATER&TRASH,37
2023-12-01,CLEANING,720
2023-12-01,ELECTRIC,129
2023-12-01,INTERNET,70
2023-12-01,MINUT,67
2023-12-01,REFILLS,65
2023-12-01,RENT,3200
2023-12-01,SECURITY+INSURANCE,80
2023-12-01,WATER&TRASH,37
2024-01-01,CLEANING,800
2024-01-01,ELECTRIC,193
2024-01-01,INTERNET,70
2024-01-01,MINUT,67
2024-01-01,REFILLS,65
2024-01-01,RENT,3200
2024-01-01,SECURITY+INSURANCE,80
2024-01-01,WATER&TRASH,44
2024-02-01,CLEANING,1030
2024-02-01,ELECTRIC,254
2024-02-01,INTERNET,70
2024-02-01,MINUT,67
2024-02-01,REFILLS,65
2024-02-01,RENT,3200
2024-02-01,SECURITY+INSURANCE,80
2024-02-01,WATER&TRASH,44
2024-03-01,CLEANING,960
2024-03-01,ELECTRIC,217
2024-03-01,INTERNET,70
2024-03-01,MINUT,67
2024-03-01,REFILLS,65
2024-03-01,RENT,3200
2024-03-01,SECURITY+INSURANCE,80
2024-03-01,WATER&TRASH,111
2024-04-01,CLEANING,950
2024-04-01,ELECTRIC,199
2024-04-01,INTERNET,70
2024-04-01,MINUT,67
2024-04-01,REFILLS,65
2024-04-01,RENT,3200
2024-04-01,SECURITY+INSURANCE,80
2024-04-01,WATER&TRASH,49
2024-05-01,CLEANING,620
2024-05-01,ELECTRIC,177
2024-05-01,INTERNET,70
2024-05-01,MINUT,67
2024-05-01,REFILLS,65
2024-05-01,RENT,3200
2024-05-01,SECURITY+INSURANCE,80
2024-05-01,WATER&TRASH,49
2024-06-01,CLEANING,1030
2024-06-01,ELECTRIC,295
2024-06-01,INTERNET,70
2024-06-01,MINUT,67
2024-06-01,REFILLS,65
2024-06-01,RENT,3200
2024-06-01,SECURITY+INSURANCE,80
2024-06-01,WATER&TRASH,39
2024-07-01,CLEANING,720
2024-07-01,ELECTRIC,199
2024-07-01,INTERNET,70
2024-07-01,MINUT,67
2024-07-01,REFILLS,65
2024-07-01,RENT,3200
2024-07-01,SECURITY+INSURANCE,80
2024-07-01,WATER&TRASH,57
2024-08-01,CLEANING,470
2024-08-01,ELECTRIC,221
2024-08-01,INTERNET,70
2024-08-01,MINUT,67
2024-08-01,PAINTTOUCHUP,50
2024-08-01,REFILLS,65
2024-08-01,RENT,3200
2024-08-01,SECURITY+INSURANCE,80
2024-08-01,WATER&TRASH,57
2024-09-01,CLEANING,790
2024-09-01,ELECTRIC,245
2024-09-01,INTERNET,70
2024-09-01,MINUT,67
2024-09-01,REFILLS,65
2024-09-01,RENT,3200
2024-09-01,SECURITY+INSURANCE,80
2024-09-01,WATER&TRASH,57
2024-10-01,CLEANING,710
2024-10-01,ELECTRIC,183
2024-10-01,INTERNET,70
2024-10-01,MINUT,67
2024-10-01,REFILLS,65
2024-10-01,RENT,3200
2024-10-01,SECURITY+INSURANCE,80
2024-10-01,WATER&TRASH,57
2024-11-01,CLEANING,560
2024-11-01,ELECTRIC,183
2024-11-01,INTERNET,70
2024-11-01,MINUT,67
2024-11-01,REFILLS,65
2024-11-01,RENT,3200
2024-11-01,SECURITY+INSURANCE,80
2024-11-01,WATER&TRASH,57
